Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
0,25,7,0,182.88,83.91,185.42,Orthodox,4.47,42.0,3.39,60.0,0.85,39.0,82.0,0.0,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1
1,29,0,0,177.8,70.31,177.8,Orthodox,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,29,8,0,175.26,70.31,182.88,Southpaw,5.49,50.0,4.3,53.0,1.36,36.0,63.0,1.2
0,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0
1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3
1,17,3,0,193.04,113.4,210.82,Orthodox,2.33,41.0,2.16,41.0,0.76,62.0,71.0,0.3,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
1,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2,23,10,1,167.64,61.23,170.18,Orthodox,3.37,40.0,4.53,54.0,0.87,41.0,46.0,0.3
1,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,60,17,1,187.96,108.86,203.2,Orthodox,3.29,48.0,3.8,44.0,1.82,46.0,37.0,1.9
0,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3,29,8,0,175.26,70.31,182.88,Southpaw,5.49,50.0,4.3,53.0,1.36,36.0,63.0,1.2
0,18,9,0,175.26,77.11,180.34,Southpaw,3.55,41.0,3.23,58.0,0.96,30.0,59.0,0.1,24,3,0,193.04,83.91,203.2,Switch,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1
0,27,12,0,190.5,117.93,200.66,Orthodox,2.43,50.0,2.48,40.0,0.53,26.0,53.0,0.0,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
